ad_ed	total_reg_dems	absentee_requested	total	candidate|Walter T. Mosley III	candidate|Phara Souffrant Forrest	candidate|Write In
57-001	696	55	68	53	15	0
57-002	849	60	118	98	20	0
57-003	732	43	111	92	18	1
57-004	346	108	77	32	45	0
57-005	198	19	32	27	5	0
57-006	780	60	16	13	3	0
57-007	599	34	52	48	4	0
57-008	724	89	71	48	22	1
57-009	733	136	132	75	57	0
57-010	1104	392	213	124	88	1
57-011	759	162	121	87	34	0
57-012	775	54	21	17	4	0
57-013	730	40	19	17	2	0
57-014	750	187	89	42	47	0
57-015	701	203	130	57	73	0
57-016	871	276	204	114	90	0
57-017	980	336	218	140	78	0
57-018	885	263	224	151	72	1
57-019	429	40	90	62	18	10
57-020	40	5	1	0	1	0
57-021	950	206	155	56	98	1
57-022	846	156	158	84	67	7
57-023	642	57	23	0	23	0
57-024	814	255	169	88	81	0
57-025	1230	410	233	92	141	0
57-026	853	278	180	90	89	1
57-027	690	198	39	12	27	0
57-028	628	175	44	24	20	0
57-029	739	228	87	51	36	0
57-030	605	149	207	170	37	0
57-031	1017	259	350	293	57	0
57-032	688	51	90	75	15	0
57-033	498	32	74	59	15	0
57-034	879	299	87	58	29	0
57-035	946	259	42	23	19	0
57-036	976	240	188	76	112	0
57-037	827	181	135	57	78	0
57-038	939	305	194	71	123	0
57-039	920	265	42	27	15	0
57-040	798	226	52	25	27	0
57-041	887	244	44	18	26	0
57-042	781	166	44	24	20	0
57-043	1072	355	211	85	126	0
57-044	896	201	188	112	76	0
57-045	853	148	182	122	60	0
57-046	698	100	152	119	33	0
57-047	517	190	92	36	56	0
57-048	842	234	207	92	113	2
57-049	900	207	216	88	128	0
57-050	761	181	159	68	90	1
57-051	862	199	173	66	107	0
57-052	731	124	122	50	72	0
57-053	729	128	171	85	86	0
57-054	1028	233	256	118	136	2
57-055	812	143	135	63	72	0
57-056	971	214	178	75	103	0
57-057	789	184	105	42	63	0
57-058	771	174	169	61	108	0
57-059	807	164	113	43	70	0
57-060	683	193	88	33	55	0
57-061	1199	459	217	89	128	0
57-062	520	197	85	36	49	0
57-063	715	243	132	54	78	0
57-064	956	333	182	72	110	0
57-065	591	253	146	39	107	0
57-066	749	195	166	66	100	0
57-067	800	199	163	74	89	0
57-068	966	240	211	89	122	0
57-069	994	238	229	88	141	0
57-070	1018	322	226	90	135	1
57-071	581	211	95	49	46	0
57-072	966	283	150	60	90	0
57-073	583	187	126	57	69	0
57-074	889	274	179	78	100	1
57-075	951	246	190	93	97	0
57-076	796	242	201	105	96	0
57-077	337	115	64	38	26	0
57-078	765	220	191	106	84	1
57-079	679	162	154	76	78	0
57-080	769	241	184	82	102	0
57-081	802	203	163	75	88	0
57-082	548	108	113	44	69	0
57-083	834	133	133	87	46	0
57-084	775	183	149	64	84	1
57-085	771	151	172	90	82	0
57-086	396	73	99	42	57	0
57-087	832	175	201	102	99	0
57-088	633	110	112	40	72	0
57-089	744	128	155	103	52	0
57-090	1350	156	294	237	57	0
57-091	745	64	172	125	47	0
57-092	886	185	181	109	70	2
57-093	653	142	141	84	56	1
57-094	465	76	77	26	51	0
57-095	467	101	40	23	17	0
57-096	586	123	113	61	52	0
57-097	451	46	77	64	13	0
57-098	618	36	90	73	17	0
57-099	837	184	122	52	70	0
57-100	717	162	148	71	77	0
57-101	833	197	205	102	100	3
57-102	629	161	137	49	88	0
57-103	639	219	113	61	52	0
57-104	1077	351	196	60	136	0
57-105	783	177	159	69	90	0
57-106	0	0	0	0	0	0