ad_ed	total_reg_dems	absentee_requested
77-001	384	59
77-002	393	46
77-003	897	116
77-004	777	84
77-005	833	101
77-006	829	147
77-007	1062	131
77-008	835	112
77-009	887	105
77-010	753	115
77-011	914	105
77-012	654	101
77-013	626	85
77-014	855	147
77-015	492	43
77-016	654	94
77-017	322	45
77-018	1067	160
77-019	904	117
77-020	794	94
77-021	887	116
77-022	908	119
77-032	831	159
77-033	668	142
77-034	818	168
77-035	547	81
77-036	814	134
77-037	692	124
77-038	520	137
77-039	914	91
77-040	597	62
77-041	666	78
77-042	910	69
77-043	894	113
77-044	835	82
77-045	601	70
77-046	698	63
77-047	689	77
77-048	672	79
77-049	347	48
77-050	872	93
77-051	822	90
77-052	168	8
77-053	965	120
77-054	891	86
77-055	916	90
77-056	751	107
77-057	720	94
77-058	891	241
77-059	550	62
77-060	572	109
77-061	283	43
77-062	911	119
77-063	743	82
77-064	356	33
77-065	846	107
77-066	75	12
77-067	567	76
77-068	853	106
77-069	0	0
77-070	0	0
77-071	943	143
77-072	573	121
77-073	0	0
77-074	810	121
77-075	611	63
77-076	757	100
77-077	395	47
77-078	961	128
77-079	520	76
77-080	391	65
77-082	326	66
78-001	756	73
78-002	474	42
78-003	811	110
78-004	410	40
78-005	545	78
78-006	1029	98
78-007	282	25
78-008	891	98
78-009	588	77
78-010	846	92
78-011	837	82
78-012	677	77
78-039	305	39
78-042	9	2
78-043	317	40
78-057	0	0
78-062	557	53
78-063	396	40
78-064	646	59
78-069	748	120
78-070	615	78
79-001	565	77
79-002	724	99
79-003	861	151
79-004	841	100
79-005	747	88
79-006	699	68
79-007	804	111
79-008	789	91
79-009	386	41
79-010	839	60
79-011	444	46
79-012	242	14
79-013	860	137
79-014	363	37
79-015	831	78
79-016	827	102
79-017	847	104
79-018	748	65
79-019	518	73
79-020	710	95
79-021	590	69
79-022	400	52
79-023	541	66
79-024	765	82
79-025	959	117
79-026	1013	102
79-027	1068	126
79-028	1006	129
79-029	9	0
79-030	591	58
79-031	704	103
79-032	704	79
79-033	828	138
79-034	644	84
79-035	837	94
79-036	862	116
79-037	702	81
79-038	891	91
79-039	1000	116
79-040	968	127
79-041	1019	127
79-042	907	96
79-043	927	92
79-044	911	131
79-045	724	160
79-046	826	97
79-047	723	93
79-048	868	95
79-049	895	100
79-050	739	79
79-051	591	94
79-052	749	121
79-053	1052	198
79-054	740	72
79-055	240	15
79-056	747	117
79-057	919	148
79-058	821	140
79-059	793	92
79-060	453	31
79-061	891	110
79-062	952	162
79-063	755	99
79-064	891	98
79-065	660	139
79-066	692	98
79-067	379	42
79-068	793	161
79-069	823	194
79-070	583	137
79-071	448	46
79-072	820	121
79-073	588	79
79-074	149	11
79-075	840	98
79-076	733	102
79-077	235	11
79-078	420	43
79-079	446	53
79-080	2	
79-081	0	0
79-082	366	37
79-083	795	83
79-084	722	163
79-085	525	74
79-086	813	140
79-087	536	68
79-088	85	13
79-089	777	121
79-090	841	164
82-117	0	0
82-118	0	0
84-001	930	101
84-002	831	105
84-003	863	110
84-004	921	123
84-005	500	57
84-006	734	89
84-007	896	101
84-008	665	80
84-009	641	85
84-010	871	135
84-011	1010	143
84-012	729	65
84-013	849	109
84-014	635	98
84-015	694	92
84-016	803	221
84-017	369	41
84-018	537	72
84-019	945	130
84-020	723	109
84-021	202	27
84-022	269	26
84-023	809	73
84-024	747	67
84-025	810	103
84-026	578	47
84-027	712	43
84-028	817	58
84-029	703	65
84-030	618	55
84-031	530	40
84-032	529	41
84-033	681	50
84-034	856	163
84-035	863	101
84-036	274	32
84-037	749	66
84-038	899	82
84-039	870	97
84-040	856	102
84-041	731	73
84-042	848	92
84-043	829	90
84-044	766	60
84-045	733	45
84-046	591	77
84-047	339	35
84-048	840	82
84-049	264	19
84-050	902	86
84-051	628	65
84-052	592	40
84-053	6	
84-054	777	78
84-055	817	93
84-056	725	81
84-057	889	78
84-058	789	98
84-059	840	74
84-060	830	80
84-061	847	70
84-062	637	44
84-063	694	62
84-064	957	104
84-065	643	55
84-066	759	85
84-067	868	64
84-068	639	39
84-069	423	46
84-070	558	68
84-071	893	85
84-072	840	56
84-073	206	24
84-074	783	86
84-075	680	65
84-076	124	9
84-077	703	29
84-078	235	21
84-079	15	1
84-080	658	148
84-081	0	0
84-082	800	103
84-083	763	91
84-084	243	28
84-085	407	31
85-001	793	167
85-002	750	95
85-003	724	108
85-004	777	79
85-005	813	114
85-006	464	58
85-007	697	85
85-008	780	75
85-009	771	77
85-010	812	98
85-011	679	64
85-012	801	95
85-013	686	127
85-014	508	61
85-015	894	105
85-016	452	42
85-017	770	75
85-018	49	4
85-019	753	158
85-020	777	103
85-021	739	138
85-022	742	72
85-023	567	38
85-024	752	130
85-025	573	72
85-026	614	90
85-027	825	118
85-028	114	7
85-029	698	53
85-030	792	90
85-031	695	51
85-032	421	33
85-033	769	90
85-034	802	39
85-036	697	81
85-037	758	124
85-038	698	46
85-039	939	83
85-040	516	42
85-041	591	55
85-042	696	84
85-043	775	80
85-044	752	76
85-045	768	72
85-046	538	61
85-047	740	70
85-048	896	97
85-049	825	72
85-050	860	111
85-051	827	97
85-052	919	87
85-053	886	95
85-054	910	107
85-055	874	74
85-056	437	42
85-057	562	65
85-058	846	118
85-059	691	64
85-060	579	74
85-061	450	43
85-062	860	92
85-063	712	79
85-064	835	61
85-065	815	83
85-066	617	64
85-067	775	65
85-068	801	121
85-069	841	84
85-070	614	58
85-071	1	0
85-072	0	0
85-073	0	0
85-074	0	0
85-075	0	0
85-076	0	0
85-077	0	0
85-078	0	0
85-079	0	0
85-080	347	37
85-081	641	64
85-082	443	42
85-083	447	50
85-084	738	72
85-085	414	33
86-001	565	66
86-002	952	109
86-003	684	85
86-004	548	60
86-005	528	83
86-006	660	153
86-007	653	137
86-008	877	159
86-009	918	90
86-010	542	64
86-011	764	140
86-012	825	92
86-013	796	86
86-014	746	87
86-015	871	77
86-016	803	89
86-017	816	107
86-021	132	28
86-022	768	76
86-023	622	90
86-024	661	63
86-025	838	68
86-026	814	116
86-027	679	77
86-028	807	88
86-029	853	141
86-030	713	79
86-031	715	76
86-032	774	150
86-033	826	190
86-034	783	209
86-035	629	57
86-036	791	115
86-037	613	67
86-038	811	62
86-039	600	92
86-040	845	124
86-041	690	72
86-042	12	
86-043	194	11
86-044	388	22
86-045	970	124
86-046	894	95
86-047	870	108
86-048	607	67
86-049	551	58
86-050	897	109
86-051	800	80
86-052	839	102
86-053	654	84
86-054	542	45
86-055	773	101
86-056	823	95
86-057	799	96
86-058	673	68
86-059	640	89
86-060	79	11
86-062	525	63
86-063	841	118
86-064	896	108
86-065	415	45
86-066	748	80
86-067	703	65
86-068	390	68
86-069	713	107
86-070	473	58
86-071	503	67
86-072	446	50
87-001	122	16
87-002	709	64
87-003	407	29
87-004	835	93
87-005	600	62
87-006	885	85
87-007	604	43
87-008	617	71
87-009	727	82
87-010	794	85
87-011	789	105
87-012	286	45
87-013	221	19
87-014	347	37
87-015	221	19
87-016	247	26
87-017	302	29
87-021	132	16
87-022	416	65
87-023	518	56
87-024	405	52
87-025	317	42
87-026	910	78
87-027	582	43
87-028	828	135
87-029	545	72
87-030	244	28
87-031	544	56
87-032	671	86
87-033	622	53
87-034	702	62
87-035	742	83
87-036	728	67
87-037	781	108
87-038	488	55
87-039	819	116
87-040	741	107
87-041	592	75
87-042	805	124
87-063	71	10
87-070	735	60
87-071	492	50
87-072	551	65
87-073	203	4
87-074	710	83
87-075	594	77
87-076	639	68
87-077	811	98
87-078	779	93
87-079	222	26
87-080	609	50
87-081	554	88
87-082	474	50
87-083	67	1
87-084	547	51
87-085	826	102
87-086	854	112
87-087	764	149
87-088	647	45
87-089	718	49
87-090	0	0
87-091	0	0
87-092	0	0
87-095	0	0
87-096	360	55
87-097	703	76
87-098	776	91
87-102	713	62