ad_ed	total_reg_dems	absentee_requested	totalAbsentee
43-012	795	149	80
43-045	979	206	114
43-046	928	180	102
43-047	591	99	57
43-048	608	61	34
43-049	796	87	46
43-050	862	170	89
43-051	843	122	53
43-072	585	111	71
43-087	813	189	109
50-001	561	45	14
50-014	342	34	13
50-083	658	78	48
50-084	126	22	11
50-085	191	42	31
50-086	12	32	0
50-088	139	203	24
50-089	802	131	116
50-090	592	129	79
50-091	597	149	84
50-092	673	25	78
50-093	140	173	13
50-099	656	94	109
50-104	0	0	0
50-106	0	0	0
51-008	267	65	78
51-044	225	4	46
51-045	15	11	2
51-046	28	164	9
51-048	24	37	0
51-049	603	54	110
51-050	372	47	18
51-051	738	73	22
51-052	476	70	27
51-053	404	153	52
51-054	553	40	29
51-055	655	63	112
51-068	157	46	20
51-069	573	59	19
51-070	702	138	24
51-071	742	96	20
51-072	717	36	79
51-073	794	73	47
51-074	639	73	11
51-081	529	99	54
51-084	0	0	0
51-086	0	0	0
51-087	0	0	0
52-003	242	225	37
52-022	433	73	62
52-023	517	356	134
52-024	358	731	41
52-025	1024	243	209
52-027	2071	188	429
52-028	802	236	165
52-029	628	237	135
52-030	781	215	175
52-031	727	183	157
52-032	807	202	133
52-033	601	168	116
52-048	593	137	142
52-049	682	63	127
52-050	481	44	97
52-051	962	103	34
52-052	920	39	11
52-053	689	153	80
52-054	591	157	12
52-055	750	178	96
52-056	701	180	102
52-057	636	268	134
52-058	578	188	113
52-059	844	223	185
52-060	637	166	117
52-061	666	2	149
52-062	566	323	126
52-063	3	298	0
52-089	872	154	236
52-090	907	34	225
52-091	565	233	106
52-095	152	325	26
52-096	748	246	147
52-097	1070	240	214
52-098	716	177	141
52-099	759	157	161
52-100	680	11	133
52-104	401	198	96
52-106	29	207	4
52-107	663	81	135
52-108	647	232	153
52-109	475	142	63
52-112	793	35	145
52-115	374	14	100
52-118	0	0	0
52-121	0	0	0
52-124	0	0	0
52-125	0	0	0
52-126	0	0	0
54-015	253	94	23
54-026	123	83	6
55-002	597	9	48
55-004	653	66	46
55-008	87	96	2
55-009	829	87	35
55-010	776	90	40
55-011	870	42	45
55-012	839	113	38
55-017	442	108	15
55-018	892	95	39
55-019	998	62	54
55-020	935	57	126
55-021	857	78	16
55-022	732	65	70
55-023	839	77	88
55-024	894	18	21
55-025	954	26	30
55-028	349	65	13
55-029	276	41	13
55-030	726	68	94
55-031	603	41	14
55-032	819	48	19
55-033	795	29	18
55-034	768	57	11
55-101	471	62	9
55-102	765	44	22
55-103	855	80	21
55-104	599	54	24
55-107	1004	44	26
55-108	559	63	27
55-109	398	122	17
55-111	0	0	0
56-005	607	116	26
56-012	739	115	84
56-013	825	146	67
56-014	894	149	75
56-015	985	95	88
56-016	931	124	88
56-018	744	109	42
56-019	846	118	62
56-021	900	131	43
56-022	781	128	45
56-023	936	93	66
56-024	996	101	77
56-025	883	133	60
56-026	679	121	69
56-027	955	73	76
56-028	968	72	75
56-029	820	78	29
56-030	929	116	17
56-031	796	133	33
56-032	977	111	72
56-033	805	188	72
56-034	730	112	53
56-035	989	124	109
56-036	741	178	77
56-037	807	131	96
56-038	897	180	125
56-039	641	143	80
56-040	858	151	96
56-041	914	145	87
56-042	866	101	92
56-043	752	158	89
56-044	763	108	56
56-045	899	154	90
56-046	737	169	60
56-047	837	145	86
56-048	853	121	82
56-049	766	88	95
56-050	719	165	70
56-051	674	150	45
56-052	872	103	90
56-053	930	151	100
56-054	819	63	131
56-055	844	118	84
56-056	336	146	42
56-057	962	59	158
56-058	844	49	162
56-059	822	101	29
56-060	867	81	23
56-061	718	43	52
56-062	780	41	66
56-063	781	96	14
56-064	791	16	5
56-065	766	46	42
56-066	381	83	7
56-067	353	91	25
56-068	626	79	34
56-069	745	45	50
56-070	691	120	46
56-071	867	81	16
56-072	881	174	75
56-074	628	164	50
56-079	945	38	97
56-080	883	102	78
56-081	489	42	17
56-082	794	72	117
56-083	599	194	8
56-084	664	85	36
56-085	972	144	124
56-086	830	133	56
56-087	658	99	83
56-088	787	127	69
56-089	699	186	71
56-090	846	55	68
56-091	845	60	192
57-001	696	43	23
57-002	849	108	18
57-003	732	19	14
57-004	346	60	57
57-005	198	34	7
57-006	780	89	87
57-007	599	136	8
57-008	724	392	42
57-009	733	162	68
57-010	1104	54	223
57-011	759	40	103
57-012	775	187	119
57-013	730	203	94
57-014	750	276	120
57-015	701	336	141
57-016	871	263	182
57-017	980	40	208
57-018	885	5	159
57-019	429	206	22
57-020	40	156	0
57-021	950	57	124
57-022	846	255	101
57-023	642	410	33
57-024	814	278	167
57-025	1230	198	247
57-026	853	175	197
57-027	690	228	230
57-028	628	149	242
57-029	739	259	286
57-030	605	51	68
57-031	1017	32	119
57-032	688	299	8
57-033	498	259	6
57-034	879	240	317
57-035	946	181	298
57-036	976	305	161
57-037	827	265	107
57-038	939	226	217
57-039	920	244	333
57-040	798	166	286
57-041	887	355	342
57-042	781	201	265
57-043	1072	148	240
57-044	896	100	117
57-045	853	190	96
57-046	698	234	49
57-047	517	207	133
57-048	842	181	157
57-049	900	199	154
57-050	761	124	138
57-051	862	128	133
57-052	731	233	72
57-053	729	143	68
57-054	1028	214	141
57-055	812	184	99
57-056	971	174	137
57-057	789	164	182
57-058	771	193	107
57-059	807	459	102
57-060	683	197	150
57-061	1199	243	275
57-062	520	333	126
57-063	715	253	168
57-064	956	195	240
57-065	591	76	178
57-066	749	101	127
57-094	465	46	53
57-095	467	36	142
57-097	451	184	16
57-098	618	162	14
57-099	837	197	110
57-100	717	161	97
57-101	833	219	107
57-102	629	351	103
57-103	639	639	160
57-104	1077	1077	254