city_council	ad_ed	total_reg_dems
35	43-011	96
35	43-012	4
35	43-013	1233
35	43-035	1179
35	43-036	1173
35	43-037	1344
35	43-038	1165
35	43-039	1280
35	43-040	887
35	43-041	901
35	43-042	958
35	43-043	1158
35	43-044	992
35	43-047	11
35	43-051	1114
35	43-055	94
35	43-057	1052
35	43-058	956
35	43-059	1310
35	43-060	1018
35	43-061	1134
35	43-062	1207
35	43-063	1102
35	43-064	1207
35	43-065	1088
35	43-066	6
35	43-077	667
35	43-084	1049
35	43-085	997
35	43-086	433
35	50-014	484
35	50-040	1
35	50-087	202
35	50-088	214
35	50-089	1183
35	50-090	963
35	50-091	852
35	50-092	1017
35	50-093	220
35	50-094	235
35	50-099	973
35	50-103	0
35	50-104	0
35	50-107	0
35	52-003	479
35	52-010	3
35	52-024	118
35	52-063	1
35	52-073	650
35	52-074	824
35	52-075	1153
35	52-111	1
35	52-113	985
35	56-067	527
35	56-071	2
35	56-073	1370
35	56-076	715
35	56-077	951
35	56-078	1081
35	57-001	1129
35	57-002	1206
35	57-003	1000
35	57-006	1168
35	57-007	884
35	57-008	1104
35	57-009	1225
35	57-010	1705
35	57-011	1179
35	57-012	1076
35	57-013	1001
35	57-014	1185
35	57-015	1013
35	57-016	1207
35	57-017	1336
35	57-018	1190
35	57-023	1061
35	57-024	1191
35	57-025	1885
35	57-026	942
35	57-027	826
35	57-028	774
35	57-029	1032
35	57-030	820
35	57-031	1320
35	57-032	940
35	57-033	682
35	57-034	1137
35	57-035	1299
35	57-038	1354
35	57-039	1237
35	57-040	1121
35	57-041	1205
35	57-042	1053
35	57-043	1591
35	57-044	1200
35	57-045	731
35	57-046	1071
35	57-047	811
35	57-048	1097
35	57-049	1217
35	57-050	1044
35	57-051	1
35	57-054	1420
35	57-056	37
35	57-059	1044
35	57-060	1006
35	57-061	1192
35	57-062	800
35	57-063	874
35	57-064	1337
35	57-065	776
35	57-066	1049
35	57-067	1093
35	57-068	1327
35	57-069	1330
35	57-070	1394
35	57-071	769
35	57-072	1281
35	57-073	745
35	57-074	1180
35	57-075	1102
35	57-076	987
35	57-077	242
35	57-078	1001
35	57-079	983
35	57-080	1057
35	57-081	1108
35	57-082	579
35	57-083	1036
35	57-084	779
35	57-085	1068
35	57-086	579
35	57-087	1104
35	57-088	891
35	57-089	1019
35	57-090	1830
35	57-091	1006
35	57-092	1218
35	57-093	914
35	57-095	573
35	57-096	793
35	57-097	615
35	57-098	916
35	57-103	916
35	57-104	1471
35	57-105	1109
35	57-106	0